AccidentUID;AccidentType;AccidentType_de;AccidentType_fr;AccidentType_it;AccidentType_en;AccidentSeverityCategory;AccidentSeverityCategory_de;AccidentSeverityCategory_fr;AccidentSeverityCategory_it;AccidentSeverityCategory_en;AccidentInvolvingPedestrian;AccidentInvolvingBicycle;AccidentInvolvingMotorcycle;RoadType;RoadType_de;RoadType_fr;RoadType_it;RoadType_en;AccidentLocation_CHLV95_E;AccidentLocation_CHLV95_N;Location;CantonCode;MunicipalityCode;MunicipalityName;AccidentYear;AccidentMonth;Month_Year;AccidentMonth_de;AccidentMonth_fr;AccidentMonth_it;AccidentMonth_en;AccidentWeekDay;AccidentWeekDay_de;AccidentWeekDay_fr;AccidentWeekDay_it;AccidentWeekDay_en;AccidentHour;AccidentHour_text
CE0FB6B4A5D7F37DE053DDB9D80AD9AB;at0;Schleuder- oder Selbstunfall;dérapage ou perte de maîtrise;Incidente di sbandamento o per colpa propria;Accident with skidding or self-accident;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;false;true;rt433;Nebenstrasse;route secondaire;Strada secondaria;Minor road;2747225;1256259;47.440645389064635,9.390587747077133;SG;3203;St. Gallen;2021;9;2021-09;September;septembre;Settembre;01-09-01;aw404;Donnerstag;jeudi;Giovedì;01-01-04;17;17h-18h
7B1A9BFD79A9AD6AE05328B9D80A4DAB;at0;Schleuder- oder Selbstunfall;dérapage ou perte de maîtrise;Incidente di sbandamento o per colpa propria;Accident with skidding or self-accident;as2;Unfall mit Schwerverletzten;accident avec blessés graves;Incidente con feriti gravi;Accident with severe injuries;false;true;false;rt433;Nebenstrasse;route secondaire;Strada secondaria;Minor road;2743455;1252062;47.40374104051858,9.339275635217541;SG;3203;St. Gallen;2018;5;2018-05;Mai;mai;Maggio;01-05-01;aw402;Dienstag;mardi;Martedì;01-01-02;15;15h-16h
6DE260448DC502E0E0530A83942791A0;at0;Schleuder- oder Selbstunfall;dérapage ou perte de maîtrise;Incidente di sbandamento o per colpa propria;Accident with skidding or self-accident;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;false;false;rt439;andere;autre;Altro;Other;2747288;1254912;47.42852002605953,9.390978297189134;SG;3203;St. Gallen;2018;5;2018-05;Mai;mai;Maggio;01-05-01;aw402;Dienstag;mardi;Martedì;01-01-02;16;16h-17h
F6ADC0E2E3FF018CE0430A839427EC9E;at8;Fussgängerunfall;accident impliquant des piétons;Incidente con pedoni;Accident involving pedestrian(s);as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;true;false;false;rt433;Nebenstrasse;route secondaire;Strada secondaria;Minor road;2743500;1253131;47.413343154361336,9.34021486873218;SG;3203;St. Gallen;2014;3;2014-03;März;mars;Marzo;01-03-01;aw401;Montag;lundi;Lunedí;;14;14h-15h
6DE2B55415C301D6E0530A839427C868;at1;Überholunfall oder Fahrstreifenwechsel;accident lors d'un dépassement ou lors d'un changement de voie de circulation;Incidente di sorpasso o al cambiamento di corsia;Accident when overtaking or changing lanes;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;false;false;rt430;Autobahn;autoroute;Autostrada;Motorway;2744647;1254594;47.426246571241116,9.355882024799554;SG;3203;St. Gallen;2018;5;2018-05;Mai;mai;Maggio;01-05-01;aw403;Mittwoch;mercredi;Mercoledì;01-01-03;06;06h-07h
F6ADC0E2F4FC018CE0430A839427EC9E;at2;Auffahrunfall;accident par tamponnement;Incidente di tamponamento;Accident with rear-end collision;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;false;false;rt432;Hauptstrasse;route principale;Strada principale;Principal road;2740633;1252426;47.4076228394905,9.30201542311586;SG;3203;St. Gallen;2014;3;2014-03;März;mars;Marzo;01-03-01;aw401;Montag;lundi;Lunedí;;19;19h-20h
B3F708A6EE2C0092E0430A8394270092;at2;Auffahrunfall;accident par tamponnement;Incidente di tamponamento;Accident with rear-end collision;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;false;false;rt432;Hauptstrasse;route principale;Strada principale;Principal road;2741885;1252450;47.407569992956184,9.318605734169273;SG;3203;St. Gallen;2011;12;2011-12;Dezember;décembre;Dicembre;01-12-01;aw406;Samstag;samedi;Sabato;01-01-06;15;15h-16h
CDC30FA81BE45B94E053DDB9D80A196F;at0;Schleuder- oder Selbstunfall;dérapage ou perte de maîtrise;Incidente di sbandamento o per colpa propria;Accident with skidding or self-accident;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;false;true;rt433;Nebenstrasse;route secondaire;Strada secondaria;Minor road;2747170;1255335;47.43234974748639,9.389554228811011;SG;3203;St. Gallen;2021;9;2021-09;September;septembre;Settembre;01-09-01;aw403;Mittwoch;mercredi;Mercoledì;01-01-03;12;12h-13h
B6A5E170F6100082E0430A8394270082;at0;Schleuder- oder Selbstunfall;dérapage ou perte de maîtrise;Incidente di sbandamento o per colpa propria;Accident with skidding or self-accident;as2;Unfall mit Schwerverletzten;accident avec blessés graves;Incidente con feriti gravi;Accident with severe injuries;false;false;false;rt430;Autobahn;autoroute;Autostrada;Motorway;2744956;1254848;47.42846239610692,9.360058543306879;SG;3203;St. Gallen;2011;12;2011-12;Dezember;décembre;Dicembre;01-12-01;aw406;Samstag;samedi;Sabato;01-01-06;22;22h-23h
D10C48E2C22CF494E053DDB9D80ABF7B;at0;Schleuder- oder Selbstunfall;dérapage ou perte de maîtrise;Incidente di sbandamento o per colpa propria;Accident with skidding or self-accident;as2;Unfall mit Schwerverletzten;accident avec blessés graves;Incidente con feriti gravi;Accident with severe injuries;false;true;false;rt433;Nebenstrasse;route secondaire;Strada secondaria;Minor road;2745434;1253839;47.41928461958618,9.366063470804418;SG;3203;St. Gallen;2021;9;2021-09;September;septembre;Settembre;01-09-01;aw404;Donnerstag;jeudi;Giovedì;01-01-04;13;13h-14h
AD22A978B95F3662E05329B9D80A36B0;at3;Abbiegeunfall;accident en quittant une route;Incidente nello svoltare;Accident when turning left or right;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;true;false;rt432;Hauptstrasse;route principale;Strada principale;Principal road;2746637;1254455;47.42455637141442,9.382202559213003;SG;3203;St. Gallen;2020;7;2020-07;Juli;juillet;Luglio;01-07-01;aw401;Montag;lundi;Lunedí;;15;15h-16h
EC3CC7713FAC0040E0430A839427B3B7;at0;Schleuder- oder Selbstunfall;dérapage ou perte de maîtrise;Incidente di sbandamento o per colpa propria;Accident with skidding or self-accident;as3;Unfall mit Leichtverletzten;accident avec blessés légers;Incidente con feriti leggeri;Accident with light injuries;false;true;false;rt432;Hauptstrasse;route principale;Strada principale;Principal road;2745839;1254522;47.42533611566114,9.371651770628198;SG;3203;St. Gallen;2013;9;2013-09;September;septembre;Settembre;01-09-01;aw401;Montag;lundi;Lunedí;;07;07h-08h
